cod;nome;período;valor
2111607;"São Raimundo das Mangabeiras";1989;2
3514304;Dourado;1989;0
3514205;Dolcinópolis;1989;0
3514106;"Dois Córregos";1989;1
3514007;Dobrada;1989;0
3513900;Divinolândia;1989;1
3513850;"Dirce Reis";1989;0
3513801;Diadema;1989;378
3513702;Descalvado;1989;1
3513603;Cunha;1989;2
3513504;Cubatão;1989;28
3513405;Cruzeiro;1989;4
3513306;Cruzália;1989;0
3513207;"Cristais Paulista";1989;0
3513108;Cravinhos;1989;0
3513009;Cotia;1989;25
3512902;Cosmorama;1989;0
3512803;Cosmópolis;1989;2
3512704;Corumbataí;1989;0
3512605;"Coronel Macedo";1989;0
3512506;Coroados;1989;1
3512407;Cordeirópolis;1989;3
3512308;Conchas;1989;0
3512209;Conchal;1989;0
3512100;Colômbia;1989;2
3512001;Colina;1989;3
3511904;Clementina;1989;0
3511706;Charqueada;1989;1
3511607;"Cesário Lange";1989;2
3511508;Cerquilho;1989;0
3511409;"Cerqueira César";1989;2
3511300;Cedral;1989;1
3511201;Catiguá;1989;1
3511102;Catanduva;1989;4
3511003;Castilho;1989;2
3510906;"Cássia dos Coqueiros";1989;0
3510807;"Casa Branca";1989;2
3510708;Cardoso;1989;0
3510609;Carapicuíba;1989;138
3510500;Caraguatatuba;1989;12
3510401;Capivari;1989;2
3510302;"Capela do Alto";1989;1
3510203;"Capão Bonito";1989;7
3510153;Canitar;1989;0
3510104;"Cândido Rodrigues";1989;0
3510005;"Cândido Mota";1989;0
3509957;Canas;1989;0
3509908;Cananéia;1989;2
3509809;"Campos Novos Paulista";1989;0
3509700;"Campos do Jordão";1989;8
3509601;"Campo Limpo Paulista";1989;8
3509502;Campinas;1989;153
3509452;"Campina do Monte Alegre";1989;0
3509403;Cajuru;1989;1
3509304;Cajobi;1989;0
3509254;Cajati;1989;0
3509205;Cajamar;1989;10
3509106;Caiuá;1989;1
3509007;Caieiras;1989;11
3508900;Caiabu;1989;0
3508801;Cafelândia;1989;1
3508702;Caconde;1989;3
3508603;"Cachoeira Paulista";1989;4
3508504;Caçapava;1989;7
3508405;Cabreúva;1989;2
3508306;"Cabrália Paulista";1989;1
3508207;Buritizal;1989;2
3508108;Buritama;1989;1
3508009;Buri;1989;2
3507902;Brotas;1989;0
3507803;Brodowski;1989;2
3507753;"Brejo Alegre";1989;0
3507704;Braúna;1989;1
3507605;"Bragança Paulista";1989;16
3507506;Botucatu;1989;13
3507456;Borebi;1989;0
3507407;Borborema;1989;2
3507308;Boracéia;1989;0
3507209;Borá;1989;0
3507159;"Bom Sucesso de Itararé";1989;0
3507100;"Bom Jesus dos Perdões";1989;1
3507001;Boituva;1989;2
3506904;Bofete;1989;2
3506805;Bocaina;1989;0
3506706;"Boa Esperança do Sul";1989;1
3506607;Biritiba-Mirim;1989;1
3506508;Birigui;1989;6
3506409;Bilac;1989;1
3506359;Bertioga;1989;0
3506300;"Bernardino de Campos";1989;0
3506201;"Bento de Abreu";1989;0
3506102;Bebedouro;1989;3
3506003;Bauru;1989;27
3505906;Batatais;1989;0
3505807;Bastos;1989;2
3505708;Barueri;1989;50
3505609;Barrinha;1989;1
3505500;Barretos;1989;12
3505401;"Barra do Turvo";1989;1
3505351;"Barra do Chapéu";1989;0
3505302;"Barra Bonita";1989;0
3505203;Bariri;1989;2
3505104;Barbosa;1989;0
3505005;"Barão de Antonina";1989;1
3504909;Bananal;1989;3
3504800;Bálsamo;1989;0
3504701;Balbinos;1989;0
3504602;"Bady Bassitt";1989;0
3504503;Avaré;1989;5
3504404;Avanhandava;1989;0
3504305;Avaí;1989;0
3504206;Auriflama;1989;0
3504107;Atibaia;1989;14
3504008;Assis;1989;12
3503950;Aspásia;1989;0
3503901;Arujá;1989;15
3503802;"Artur Nogueira";1989;1
3503703;Ariranha;1989;0
3503604;Areiópolis;1989;0
3503505;Areias;1989;0
3503406;Arealva;1989;0
3503356;Arco-Íris;1989;0
3503307;Araras;1989;16
3503208;Araraquara;1989;16
3503158;Arapeí;1989;0
3503109;Arandu;1989;1
3503000;Aramina;1989;0
3502903;"Araçoiaba da Serra";1989;2
3502804;Araçatuba;1989;25
3502754;Araçariguama;1989;0
3502705;Apiaí;1989;3
3502606;"Aparecida d'Oeste";1989;1
3502507;Aparecida;1989;6
3502408;Anhumas;1989;1
3502309;Anhembi;1989;0
3502200;Angatuba;1989;2
3502101;Andradina;1989;4
3502002;Analândia;1989;0
3501905;Amparo;1989;0
3501806;"Américo de Campos";1989;0
3501707;"Américo Brasiliense";1989;3
