cod;nome;período;valor
1304237;Tonantins;1989;10.41
3162609;"São João do Oriente";1989;0
3162575;"São João do Manteninha";1989;0
3162559;"São João do Manhuaçu";1989;0
3162500;"São João del Rei";1989;8.41
3162450;"São João das Missões";1989;0
3162401;"São João da Ponte";1989;3.06
3162302;"São João da Mata";1989;0
3162252;"São João da Lagoa";1989;0
3162203;"São João Batista do Glória";1989;0
3162104;"São Gotardo";1989;0
3162005;"São Gonçalo do Sapucaí";1989;0
3161908;"São Gonçalo do Rio Abaixo";1989;0
3161809;"São Gonçalo do Pará";1989;0
3161700;"São Gonçalo do Abaeté";1989;0
3161650;"São Geraldo do Baixio";1989;0
3161601;"São Geraldo da Piedade";1989;0
3161502;"São Geraldo";1989;0
3161403;"São Francisco do Glória";1989;0
3161304;"São Francisco de Sales";1989;0
3161205;"São Francisco de Paula";1989;0
3161106;"São Francisco";1989;1.41
3161056;"São Félix de Minas";1989;0
3161007;"São Domingos do Prata";1989;0
3160959;"São Domingos das Dores";1989;0
3160900;"São Brás do Suaçuí";1989;0
3160801;"São Bento Abade";1989;0
3160702;"Santos Dumont";1989;11.34
3160603;"Santo Hipólito";1989;0
3160504;"Santo Antônio do Rio Abaixo";1989;0
3160454;"Santo Antônio do Retiro";1989;0
3160405;"Santo Antônio do Monte";1989;5.74
3160306;"Santo Antônio do Jacinto";1989;0
3160207;"Santo Antônio do Itambé";1989;0
3160108;"Santo Antônio do Grama";1989;0
3160009;"Santo Antônio do Aventureiro";1989;0
3159902;"Santo Antônio do Amparo";1989;0
3159803;"Santa Vitória";1989;0
3159704;"Santa Rosa da Serra";1989;0
3159605;"Santa Rita do Sapucaí";1989;3.91
3159506;"Santa Rita do Itueto";1989;0
3159407;"Santa Rita de Ibitipoca";1989;0
3159357;"Santa Rita de Minas";1989;0
3159308;"Santa Rita de Jacutinga";1989;0
3159209;"Santa Rita de Caldas";1989;0
3159100;"Santana dos Montes";1989;0
3159001;"Santana do Riacho";1989;0
3158953;"Santana do Paraíso";1989;0
3158904;"Santana do Manhuaçu";1989;11.23
3158805;"Santana do Jacaré";1989;0
